folio,estab,sexoe,edade,prome,curso,ccon1,ccon2,ccon4,ccon5,cemo1,cemo2,cemo3,cemo4,cemo5,cemo6,ccog1,ccog2,ccog3,ccog4,ccog5,clas1,clas2,clas3,clas4,clas5,clas6,clas7,clas8,clno1,clno2,clno3,clno4,clnv1,clnv2,clnv3,clpa1,clpa2,clpa3
182,1,0,11,5.5,1,3,4,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,4,3,3,4,3,3,3,3,2,3,4,4,4,3,4,3
183,2,1,11,6.8,2,5,1,5,1,5,3,4,4,5,4,5,4,3,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,4
184,1,1,13,6.1,4,3,3,3,2,3,4,1,1,1,3,3,1,1,3,1,2,3,4,3,3,2,3,1,2,1,2,2,3,4,4,3,1,2
185,2,1,11,5.7,1,3,1,5,1,5,1,5,5,5,5,2,2,1,5,1,2,5,1,5,5,5,5,5,3,5,1,1,5,5,3,5,1,5
186,2,0,14,4.8,3,3,2,4,1,5,1,1,3,2,4,3,1,2,1,1,4,1,5,5,5,5,5,5,3,4,4,5,2,5,5,5,5,5
187,2,0,11,5.9,2,4,2,3,2,3,3,5,3,5,4,3,1,3,2,2,2,3,4,3,4,3,4,2,3,4,4,2,4,5,3,2,1,3
188,2,0,13,5.7,4,4,2,4,3,5,2,3,4,3,3,3,3,3,3,2,3,3,4,4,2,3,4,3,3,4,3,2,5,1,5,4,3,3
189,2,0,11,5.7,2,4,3,5,2,5,3,4,3,4,4,3,2,1,2,3,4,4,5,4,5,4,5,5,4,3,2,4,5,5,5,4,4,4
190,1,0,14,5.9,4,4,3,4,2,5,2,3,3,2,3,2,1,1,3,2,5,3,5,4,4,5,4,4,4,5,5,4,5,4,5,4,5,3
191,1,0,13,5.2,3,3,3,3,2,3,5,1,1,2,2,1,1,1,1,1,2,1,4,4,4,3,3,3,3,2,1,2,4,4,3,4,2,2
192,1,0,13,5.2,4,4,2,3,2,3,4,3,3,3,2,4,2,1,1,1,3,3,2,3,1,1,2,1,3,2,3,3,4,5,5,3,2,1
193,1,0,13,5.6,4,4,1,5,1,4,4,3,3,3,3,1,4,1,1,1,4,4,5,5,5,3,5,3,4,4,4,4,4,4,5,2,3,4
194,1,0,13,5.4,4,4,3,4,1,5,2,4,4,4,4,5,1,2,3,2,4,4,5,5,5,5,5,5,5,3,3,4,4,4,5,5,5,5
195,1,0,10,6,1,3,3,2,3,5,3,4,5,5,1,5,3,1,5,3,3,2,3,1,4,4,1,5,3,1,5,5,5,5,2,5,5,3
196,1,0,11,6.1,2,5,2,4,2,4,2,4,4,3,4,3,2,3,4,3,1,1,5,5,5,5,4,3,4,5,1,4,4,5,5,4,3,4
197,2,0,11,5.6,2,4,2,3,4,3,4,3,5,3,3,1,1,1,4,1,2,4,5,4,5,3,5,1,5,3,5,5,5,5,5,1,4,3
198,1,0,14,5.7,4,3,2,4,2,2,5,2,3,3,2,4,1,2,4,1,2,1,3,2,3,2,2,1,4,4,1,3,1,2,2,1,1,1
